Day Ct,Set Ct,Trial Ct,Set Trial Ct,Speculum Type,Size,Brand,Material,Material Type,Method,Hand,Spec Ang,Spec Ht,Opening Distance,wd_rel.0,wd_rel.20,wd_rel.40,wd_rel.60,wd_rel.80,wd_rel.120,wd_rel.160,wd_rel.200,ht_rel.0,ht_rel.20,ht_rel.40,ht_rel.60,ht_rel.80,ht_rel.120,ht_rel.160,ht_rel.200
1,16,35,2,White,None,None,None,None,None,,3,0,4.1,0.0,,0.535031847133758,,0.7961783439490446,0.8757961783439491,0.9331210191082803,0.9713375796178344,0.0,,-0.13218390804597702,,-0.02298850574712641,0.0431034482758621,0.11206896551724133,0.1724137931034483
1,17,36,3,White,None,None,None,None,None,,3,0,4.1,0.0,,0.6153846153846154,,0.7769230769230769,0.8846153846153846,0.926923076923077,0.9846153846153847,0.0,,-0.015544041450777257,,0.05699481865284972,0.13212435233160624,0.2046632124352331,0.2953367875647669
2,19,39,1,White,M,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.8,0.0,-0.26041666666666674,-0.140625,-0.07291666666666674,-0.16666666666666674,0.0,0.0,0.07291666666666663,0.0,0.08713692946058094,0.3817427385892116,0.5228215767634854,0.6058091286307055,0.7053941908713692,0.8049792531120332,0.8547717842323651
2,19,41,2,White,M,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.6,0.0,0.018575851393188847,0.05882352941176472,0.11455108359133126,0.16408668730650156,0.24767801857585137,0.30959752321981426,0.4117647058823529,0.0,0.09090909090909094,0.17207792207792205,0.25649350649350644,0.31493506493506496,0.39610389610389607,0.4415584415584416,0.5
2,19,46,3,White,M,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.5,0.0,0.015625,0.07187500000000002,0.12812500000000004,0.18437499999999996,0.290625,0.37812500000000004,0.44062500000000004,0.0,0.12195121951219512,0.40418118466898956,0.5923344947735192,0.6724738675958188,0.7700348432055749,0.8013937282229965,0.8466898954703833
2,20,40,1,Blue,M,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.5,0.0,0.0035211267605633756,0.06690140845070425,0.17957746478873238,0.2816901408450704,0.4577464788732394,0.5915492957746479,0.7112676056338028,0.0,0.0714285714285714,0.14976958525345618,0.21658986175115202,0.2626728110599078,0.31336405529953915,0.3433179723502304,0.380184331797235
2,20,44,2,Blue,M,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.1,0.0,0.03389830508474578,0.13559322033898302,0.19491525423728817,0.2796610169491526,0.44067796610169496,0.6186440677966102,0.7457627118644068,0.0,0.019230769230769273,0.07932692307692313,0.11057692307692313,0.1610576923076923,0.22115384615384615,0.25,0.28125
2,20,48,3,Blue,M,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.0,0.0,-0.08290155440414515,0.020725388601036232,0.020725388601036232,0.15025906735751293,0.2642487046632125,0.5025906735751295,0.7150259067357513,0.0,-0.032258064516129004,0.01488833746898266,0.07444168734491319,0.09925558312655092,0.18610421836228286,0.2034739454094293,0.25310173697270466
2,21,42,2,Green,M,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.7,0.0,0.006349206349206327,0.04761904761904767,0.11428571428571432,0.1682539682539682,0.2666666666666667,0.3492063492063492,0.43492063492063493,0.0,0.10989010989010994,0.228021978021978,0.3296703296703297,0.4010989010989011,0.4725274725274725,0.5302197802197802,0.5741758241758241
2,21,47,3,Green,M,STRONG-Blue,Nitrile,Glove,Middle,A,5,0,2.5,0.0,0.010273972602739767,0.0547945205479452,0.11986301369863017,0.18835616438356162,0.3013698630136986,0.40410958904109584,0.5,0.0,0.033333333333333326,0.15000000000000002,0.24444444444444446,0.33333333333333337,0.4277777777777778,0.47777777777777775,0.5194444444444444
