,Day Ct,Day Num,Set Ct,Trial Ct,Set Trial Ct,Speculum Type,Spec Ang,Spec Ht,Size,Brand,Material,Material Type,Method,Opening Height,Trial Num,mmHg,Filename,Used,Notes,url,Label ID,wd,ht,wd_start,ht_start,wd_rel,ht_rel
32,1,36,5,10,3,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.0,3,80,20220423_150324.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F0fcac30d-6058-7cdb-5517-f59a97321207-20220423_150324.jpg?Expires=1662175964330&KeyName=labelbox-assets-key-3&Signature=LiTK3hrr71YeHbxunvBieEddJrY,cl2cl8af560ht0zamar7l9p3j,268.0,30.0,953.0,2190.0,-0.42553191489361697,-0.15384615384615374
33,1,37,5,10,3,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.0,4,120,20220423_150330.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F16145540-e2de-14c3-4452-aac713a9b136-20220423_150330.jpg?Expires=1662175964330&KeyName=labelbox-assets-key-3&Signature=caBn6DgWDokARb8-MCe0drY7w4s,cl2cl8si9681z0zcc72wze85l,258.0,26.0,941.0,2191.0,-0.37234042553191493,0.0
34,1,38,5,10,3,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.0,5,160,20220423_150334.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Fadbf5484-e7a9-e57c-224e-9751236be1fe-20220423_150334.jpg?Expires=1662175964330&KeyName=labelbox-assets-key-3&Signature=E_NAXnQhrI6-LSRb96WX5vDMt2M,cl2cl9buz4wa90zbxfzgy1dcs,271.0,10.0,942.0,2197.0,-0.4414893617021276,0.6153846153846154
35,1,39,5,10,3,White,3,0,M,Primacare,Vinyl,Glove,Middle,1.0,6,200,20220423_150341.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F32a932c1-f575-a023-26dd-d73d63ec4e2b-20220423_150341.jpg?Expires=1662175964330&KeyName=labelbox-assets-key-3&Signature=PFgvshcwz2SifpL92_265fkGxNE,cl2cl9rru5zua0zah4sc27sbg,275.0,4.0,938.0,2202.0,-0.4627659574468086,0.8461538461538461
36,1,40,6,11,1,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,1,0,20220423_150744.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F3850978f-25f8-d478-06f8-c115bb7426ca-20220423_150744.jpg?Expires=1662175964330&KeyName=labelbox-assets-key-3&Signature=cJKKegcyrfgtf0__vnCdzpHxplM,cl2cla3ns682w0zcc2ioh86aq,292.0,215.0,898.0,2300.0,0.0,0.0
37,1,41,6,11,1,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,2,40,20220423_150755.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F1e59dcf0-d085-0016-eb05-f665a47efe77-20220423_150755.jpg?Expires=1662175964330&KeyName=labelbox-assets-key-3&Signature=WYdl6oS5Wr3opX9cIm8jw_qST8o,cl2clafdw60800zdffumld2sl,181.0,284.0,950.0,2213.0,0.38013698630136983,-0.32093023255813957
38,1,42,6,11,1,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,3,80,20220423_150759.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F26e81768-a0be-12ad-c5f1-736c97dfa769-20220423_150759.jpg?Expires=1662175964330&KeyName=labelbox-assets-key-3&Signature=nPV_auw-G9p7Z3Hy15z2_30prl4,cl2clbyxf60kv0zamg2lx26yg,119.0,273.0,979.0,2196.0,0.5924657534246576,-0.2697674418604652
39,1,43,6,11,1,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,4,120,20220423_150803.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2Ff361a7d9-851b-d804-cc4c-720af4e37300-20220423_150803.jpg?Expires=1662175964330&KeyName=labelbox-assets-key-3&Signature=KRXB1gqNEEccc1wX49Q-e8e_as4,cl2clcxj764mj10cdc01wc2af,81.0,259.0,992.0,2192.0,0.7226027397260274,-0.20465116279069773
40,1,44,6,11,1,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,5,160,20220423_150808.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F6ddf2ee6-a116-57c9-ec26-bd12a83243a3-20220423_150808.jpg?Expires=1662175964331&KeyName=labelbox-assets-key-3&Signature=IW9m8fn2iRGnPXzIRqB_-17OT_E,cl2cldtem5zwq0zah59tj3qat,56.0,239.0,1005.0,2191.0,0.8082191780821918,-0.1116279069767443
41,1,45,6,11,1,White,5,0,S,STRONG-Black,Nitrile,Glove,Middle,2.75,6,200,20220423_150814.jpg,y,,https://storage.labelbox.com/cl2ceiao35hbj0zahefxyfyll%2F7e97bb41-93f4-bd4b-51e7-201caa37937e-20220423_150814.jpg?Expires=1662175964331&KeyName=labelbox-assets-key-3&Signature=jpaHmfBXYHiIemNN5v_5HCdriuI,cl2clejbk68750zcc9cs64cf2,38.0,219.0,1009.0,2188.0,0.8698630136986302,-0.018604651162790642
